,price_perc-2w,price_perc-4w,price_perc-6w,price_perc-8w,production_tons-1m_sum,production_tons-12m_sum,production_tons-3m_sum,production_tons-6m_sum,production_tons-9m_sum,tmin,tmax,tmed,prec,racha,prec-4w_sum,prec-13w_sum,prec-26w_sum,prec-52w_sum,tmed-4w_mean,freeze_damage,week_nr,increase
88,-0.014215490899428827,-0.018994314926622853,-0.019135948473212525,-0.03435710567412813,12.190000000002328,496943.75,300.38999999998487,10064.079999999929,489011.36999999994,2.1,19.6,11.284615384615385,0.0,17.5,177.2,386.99999999999994,386.99999999999994,1821.699999999999,12.635551948051939,0.0,46,-1.0
90,-0.00152112326332057,-0.021736804746545515,-0.032046868906955586,-0.022210206495161457,12.190000000002328,496943.75,300.38999999998487,10064.079999999929,489011.36999999994,-2.8,16.4,6.785714285714285,65.9,17.5,140.89999999999998,386.99999999999994,386.99999999999994,1665.2999999999988,11.138848651348642,0.27999999999999997,47,-1.0
93,-0.034020293361475905,-0.04920065541827218,-0.05380988056938879,-0.05394648758849392,12.190000000002328,496943.75,300.38999999998487,10064.079999999929,489011.36999999994,0.1,13.3,6.435714285714286,28.600000000000005,17.5,94.79999999999997,452.9,452.9,1730.899999999999,9.753134365634356,0.0,48,-1.0
95,-0.002876806952961444,-0.0382643775956911,-0.05773613755634165,-0.0676667992892641,128.21999999997206,496963.32,542.2599999999802,757.8899999999267,310342.1499999999,-2.3,14.4,6.735294117647059,76.4,19.4,94.89999999999998,468.6,468.6,1759.4999999999989,8.892420079920068,0.22999999999999998,49,-1.0
97,-0.012662873849860885,-0.04899612033424662,-0.06394113741020711,-0.06847890458154704,128.21999999997206,496963.32,542.2599999999802,757.8899999999267,310342.1499999999,-0.5,18.3,6.571428571428571,3.9,16.4,170.89999999999998,520.1,520.1,1835.899999999999,7.810334518422742,0.05,50,-1.0
99,-0.011750712311525904,-0.02707179021479566,-0.06160068894481872,-0.08059997077075981,128.21999999997206,496963.32,542.2599999999802,757.8899999999267,310342.1499999999,-1.4,21.8,9.088235294117647,0.2,13.3,174.79999999999998,522.7,522.7,1834.499999999999,6.632037815126038,0.13999999999999999,51,-1.0
100,-0.006164492802762076,-0.03027970106321154,-0.06596466186233056,-0.08064301846685272,128.21999999997206,496963.32,542.2599999999802,757.8899999999267,310342.1499999999,3.9,17.2,10.266666666666667,38.5,15.0,109.09999999999997,432.60000000000014,432.60000000000014,1831.799999999999,7.207668067226878,0.0,52,-1.0
102,-0.026139372936093436,-0.043515742103701634,-0.058344358740256036,-0.09176340440940246,128.21999999997206,496963.32,542.2599999999802,757.8899999999267,310342.1499999999,-4.4,10.4,3.7500000000000004,12.099999999999998,8.6,118.99999999999996,470.90000000000015,470.90000000000015,1773.299999999999,8.165406162464974,0.44000000000000006,1,-1.0
104,-0.0013502531168619008,-0.033449582058337854,-0.056902723402242165,-0.09160797746575505,817.2000000000116,496669.63,957.6099999999569,1343.6599999999453,99660.7299999999,-1.8,17.5,6.514285714285715,3.4000000000000004,10.0,54.69999999999996,466.70000000000016,466.70000000000016,1771.399999999999,7.419082633053209,0.18,2,-1.0
106,-0.034177634433535144,-0.06069364161849716,-0.07745346698891704,-0.09175593851886346,817.2000000000116,496669.63,957.6099999999569,1343.6599999999453,99660.7299999999,-0.4,18.2,8.5375,40.3,22.2,54.19999999999996,406.20000000000016,406.20000000000016,1759.599999999999,7.404796918767495,0.04,3,1.0
108,0.0024367939876910557,-0.03313140679377973,-0.06420920270107733,-0.08691596835962904,817.2000000000116,496669.63,957.6099999999569,1343.6599999999453,99660.7299999999,1.4,19.5,8.457894736842107,61.30000000000001,15.6,94.29999999999995,410.20000000000016,410.20000000000016,1799.899999999999,7.267113095238084,0.0,4,1.0
111,0.032867729511262316,-2.3814981063013926e-06,-0.0274566473988439,-0.044809512743909416,817.2000000000116,496669.63,957.6099999999569,1343.6599999999453,99660.7299999999,0.0,14.2,7.133333333333333,188.70000000000005,18.6,117.09999999999997,359.50000000000017,359.50000000000017,1861.199999999999,6.8149201127819445,0.0,5,1.0
113,0.010896483407627437,0.046666666666666655,0.0095291130826849,-0.022919908386530605,7751.96,497708.75,8697.379999999954,8997.76999999991,18761.45999999992,-0.5,21.6,9.485185185185186,11.0,11.1,293.7,519.7000000000003,519.7000000000003,2033.9999999999986,7.660753446115278,0.05,6,-1.0
115,-0.010289073983341454,0.033379303423848324,0.0004929120226969594,-0.026974951830443183,7751.96,497708.75,8697.379999999954,8997.76999999991,18761.45999999992,0.7,22.5,10.11111111111111,0.0,11.4,301.3,530.3000000000003,530.3000000000003,2044.9999999999986,8.403478313840147,0.0,7,-1.0
116,-0.00940594059405947,-0.00891530460624083,0.02615384615384612,-0.010255876884638684,7751.96,497708.75,8697.379999999954,8997.76999999991,18761.45999999992,1.0,23.4,12.168,3.9,14.7,261.0,530.3000000000003,530.3000000000003,1951.6999999999987,8.796881091617925,0.0,8,0.0
119,0.0,-0.01959823615874573,0.023659399084713054,-0.008917664872566095,7751.96,497708.75,8697.379999999954,8997.76999999991,18761.45999999992,1.8,22.2,9.321874999999999,154.8,26.4,203.59999999999997,468.3000000000003,468.3000000000003,1925.8999999999987,9.724407407407398,0.0,9,-1.0
121,-0.015593702335490574,-0.024852969491740973,-0.024369984335471457,0.010152308526504256,123504.86999999998,442416.18,132074.02999999997,132616.28999999992,132831.91999999993,4.3,30.9,15.89714285714286,0.0,11.7,169.69999999999993,594.5000000000003,594.5000000000003,2071.3999999999987,10.271542824074064,0.0,10,-1.0
122,-0.04507926530162933,-0.05997001499250369,-0.07839294463498281,-0.03772947042561451,123504.86999999998,442416.18,132074.02999999997,132616.28999999992,132831.91999999993,3.9,28.5,15.851515151515152,5.8,20.6,158.69999999999993,518.1000000000004,518.1000000000004,2055.199999999999,11.874532242063482,0.0,11,-1.0
124,-0.0026581605528974562,-0.062468765617191405,-0.07128712871287135,-0.07082714214957911,123504.86999999998,442416.18,132074.02999999997,132616.28999999992,132831.91999999993,3.8,30.9,15.328124999999998,31.6,17.2,164.49999999999994,520.0000000000003,520.0000000000003,2000.1999999999991,13.309633252164492,0.0,12,-1.0
127,-0.00800488430940121,-0.055241308876630396,-0.0699735946848759,-0.08820047181011108,123504.86999999998,442416.18,132074.02999999997,132616.28999999992,132831.91999999993,0.2,25.0,11.013333333333334,38.699999999999996,13.1,192.19999999999993,551.4000000000003,551.4000000000003,2031.6999999999991,14.099664502164492,0.0,13,1.0
129,0.005382727215471547,-0.0053163211057947945,-0.064967516241879,-0.07376237623762377,123504.86999999998,442416.18,132074.02999999997,132616.28999999992,132831.91999999993,2.5,28.6,13.200000000000005,26.3,18.9,76.09999999999991,551.6000000000004,551.6000000000004,2070.399999999999,14.522529085497824,0.0,14,1.0
130,0.0015226576078579332,-0.0011466458505851283,-0.048709643259252554,-0.0635437819168904,136675.81000000003,367593.37,267932.63999999996,268890.24999999994,269276.3,3.3,22.4,11.4,177.49999999999997,16.7,102.3999999999999,565.8000000000003,565.8000000000003,1696.7999999999993,13.848243371212112,0.0,15,-1.0
132,-0.03567464412738378,-0.029007702790830023,-0.03934077618288148,-0.09695152423788105,136675.81000000003,367593.37,267932.63999999996,268890.24999999994,269276.3,5.9,30.7,15.75625,18.599999999999998,16.7,274.09999999999985,739.9000000000003,739.9000000000003,1621.6999999999994,12.735364583333324,0.0,16,-1.0
134,-0.0057285015810756585,-0.03973885748637294,-0.042298188889660804,-0.0879016486677048,136675.81000000003,367593.37,267932.63999999996,268890.24999999994,269276.3,3.5,28.8,14.403999999999998,1.2,17.5,261.09999999999985,718.2000000000004,718.2000000000004,1611.6999999999994,12.842395833333324,0.0,17,1.0
136,0.0035351389054799286,-0.03780928796993523,-0.03115710466622387,-0.041467304625199396,136675.81000000003,367593.37,267932.63999999996,268890.24999999994,269276.3,6.7,34.1,20.542307692307688,26.5,15.0,223.59999999999985,658.1000000000004,658.1000000000004,1612.8999999999994,13.69006249999999,0.0,18,-1.0
139,-0.019878955851923907,-0.022048565246828338,-0.05550067204757823,-0.05801799435022322,128927.03999999998,407869.18,389107.7199999999,397805.0999999999,398105.48999999993,7.7,32.7,18.488,0.0,21.1,223.79999999999984,495.9000000000003,495.9000000000003,1541.5999999999995,15.52563942307691,0.0,19,-1.0
140,-0.03121296173106675,-0.047114721128019045,-0.08637243538798063,-0.08005599733143386,128927.03999999998,407869.18,389107.7199999999,397805.0999999999,398105.48999999993,9.4,36.2,22.12413793103448,4.800000000000001,18.1,46.29999999999987,484.9000000000003,484.9000000000003,1511.2999999999995,17.29763942307691,0.0,20,1.0
142,0.008019742936586936,-0.04285646150447207,-0.044975207577511424,-0.07764307861708349,128927.03999999998,407869.18,389107.7199999999,397805.0999999999,398105.48999999993,10.6,37.9,22.25454545454545,1.1,20.6,32.49999999999987,489.70000000000033,489.70000000000033,1488.9999999999995,18.88961140583553,0.0,21,1.0
144,0.025653031021969672,0.0016080944719694462,-0.014832392755019783,-0.05542009967098475,128927.03999999998,407869.18,389107.7199999999,397805.0999999999,398105.48999999993,9.0,38.3,22.067741935483877,13.299999999999999,20.3,32.39999999999987,486.9000000000004,486.9000000000004,1442.4999999999995,20.852247769471894,0.0,22,1.0
